时间,料位,所有识别文本,识别角度,检测结果
2026-03-31 13:01:51,1,ATMLH904|24C02BN|SU27,0,方向错误
2026-03-31 13:01:51,2,ATMLH904|24C02BN|SU27D,90,方向错误
2026-03-31 13:01:52,3,AVERLOGIC|AL422B-PBF|M3E86|1235,0,型号错误
2026-03-31 13:01:53,4,ATMLH904|24C02BN|SU27D,270,正常
2026-03-31 13:01:53,5,ATMLH904|24C02BN|SU27D,270,正常
2026-03-31 13:01:54,6,ATMLH904|24C02BN|SU27D,270,正常
2026-03-31 13:01:54,7,ATMLH904|24C02BN|SU27D,270,正常
2026-03-31 13:01:54,8,HX-1|IEE1931-CQFP100,0,型号错误
2026-03-31 13:01:55,9,386D|JRC|A109B,0,型号错误
2026-03-31 13:01:55,10,025|HCE1963A|(3.3V)|2122,0,型号错误
2026-03-31 13:01:56,11,CY7C68013A-|100AXC|1807|B04608438,0,型号错误
2026-03-31 13:01:56,12,ATMLH904|24C02BN|SU27D,270,正常
2026-03-31 13:01:57,13,ATMLH904|24C02BN|SU27,0,方向错误
2026-03-31 13:01:57,14,ATMLH904|24C02BN|SU27,0,方向错误
2026-03-31 13:01:57,15,HX-1|IEE1931-CQFP100,0,型号错误
2026-03-31 13:01:58,16,MJE15031|8728,0,型号错误
2026-03-31 13:01:58,17,MAX485|ESA|+190N,0,型号错误
2026-03-31 13:01:58,18,WIXPW|MAX232EPE|+0918,0,型号错误
2026-03-31 13:02:00,19,359|SUPR|S07000,0,型号错误
2026-03-31 13:02:00,20,,180,空
2026-03-31 13:02:01,21,,90,空
